CustomerID,Age,Gender,State,Operator,SIMTenureMonths,RechargeAmount,RechargeFrequencyDays,DataUsageGB,CallMinutes,SMSUsage,PlanType,NetworkComplaints,DroppedCalls,LateRechargeDays,CustomerSupportCalls,SatisfactionScore,PortRequest,Churn
CUST00020,20,Male,Karnataka,Jio,118,299,28,3.4,612,13,Prepaid,4,15,1,3,3,No,No
CUST00021,24,Female,Gujarat,Jio,40,799,28,11.99,203,66,Postpaid,1,9,7,1,5,No,No
CUST00022,25,Male,Maharashtra,Jio,31,199,28,11.81,201,29,Prepaid,2,8,6,2,4,No,No
CUST00023,30,Male,Telangana,Jio,22,799,28,7.65,386,20,Prepaid,7,28,4,5,2,No,No
CUST00024,48,Male,Maharashtra,Airtel,4,299,28,27.44,1513,25,Prepaid,0,14,5,2,5,No,No
CUST00025,49,Male,West Bengal,Airtel,42,399,35,28.6,454,282,Postpaid,1,6,0,1,4,No,No
CUST00026,33,Female,Gujarat,Airtel,72,99,45,10.13,768,128,Prepaid,1,13,0,4,3,No,No
CUST00027,37,Male,Telangana,Jio,44,239,28,10.63,870,75,Prepaid,9,26,13,6,1,Yes,Yes
CUST00028,25,Male,Telangana,Jio,93,1499,35,28.74,224,20,Postpaid,0,5,20,0,4,No,No
CUST00029,18,Female,Uttar Pradesh,Jio,18,239,21,33.07,447,16,Prepaid,5,22,10,4,2,Yes,No
CUST00030,56,Male,Uttar Pradesh,Jio,5,199,28,22.01,667,37,Prepaid,1,2,3,2,4,No,No
CUST00031,18,Female,Maharashtra,Vi,7,299,35,14.5,231,11,Prepaid,8,18,2,4,1,No,Yes
CUST00032,18,Male,Punjab,Jio,48,239,35,48.23,360,57,Prepaid,0,6,6,0,4,No,No
CUST00033,57,Male,Telangana,Vi,15,499,35,21.52,292,51,Postpaid,7,33,3,5,1,No,Yes
CUST00034,35,Female,Telangana,Airtel,35,239,35,16.58,382,52,Prepaid,0,0,0,1,5,No,No
CUST00035,21,Female,Uttar Pradesh,Jio,8,799,30,6.85,181,16,Postpaid,0,10,3,1,5,No,No
CUST00036,43,Female,Karnataka,Vi,102,499,35,31.13,811,41,Prepaid,1,3,2,1,4,No,No
CUST00037,44,Male,Telangana,Airtel,13,499,35,35.18,304,32,Postpaid,3,7,0,2,4,No,No
CUST00038,19,Male,Karnataka,Jio,23,599,28,36.3,1588,34,Prepaid,1,12,4,1,3,No,No
CUST00039,29,Female,Rajasthan,BSNL,52,399,45,27.18,271,19,Prepaid,8,25,5,5,1,No,Yes
CUST00040,46,Male,Maharashtra,Jio,96,499,28,15.48,965,112,Prepaid,2,19,3,2,3,No,No
CUST00041,25,Male,Kerala,Jio,12,499,28,52.34,727,102,Prepaid,2,11,23,3,4,No,No
CUST00042,38,Male,Gujarat,Vi,99,149,35,21.85,1284,50,Prepaid,1,16,3,2,4,No,No
CUST00043,52,Male,Gujarat,Vi,33,499,35,6.07,496,27,Prepaid,6,12,4,5,2,No,Yes
CUST00044,18,Female,Rajasthan,Jio,39,299,28,24.85,1142,73,Prepaid,1,9,0,1,3,No,No
CUST00045,31,Male,West Bengal,Jio,19,299,21,14.71,850,43,Prepaid,1,0,5,1,5,No,No
CUST00046,38,Female,Uttar Pradesh,Vi,11,239,45,7.73,454,41,Prepaid,4,9,2,2,3,No,Yes
CUST00047,18,Male,Gujarat,Jio,46,299,28,20.7,573,13,Prepaid,1,6,11,3,5,No,No
CUST00048,29,Male,Maharashtra,Jio,27,699,35,28.77,240,34,Postpaid,0,6,0,0,5,No,No
CUST00049,48,Male,West Bengal,Airtel,85,239,45,8.75,336,55,Prepaid,9,38,1,5,1,Yes,Yes
CUST00050,27,Male,Punjab,BSNL,40,999,35,10.66,453,53,Postpaid,0,1,1,1,4,No,No
CUST00051,18,Female,Madhya Pradesh,Jio,113,199,35,49.14,249,34,Prepaid,0,0,8,0,5,No,No
CUST00052,49,Female,Tamil Nadu,Vi,48,499,60,51.83,604,32,Postpaid,1,8,1,3,3,No,Yes
CUST00053,40,Female,Telangana,Airtel,15,499,14,11.91,91,27,Prepaid,0,4,0,1,5,No,No
CUST00054,34,Female,Delhi,Airtel,106,1199,45,26.91,338,63,Postpaid,0,2,1,0,5,No,No
CUST00055,34,Female,Tamil Nadu,Vi,38,299,21,18.66,1218,31,Prepaid,0,0,4,0,4,No,No
CUST00056,47,Female,Tamil Nadu,Others,32,299,28,15.9,357,26,Prepaid,2,19,3,2,5,No,No
CUST00057,39,Male,Tamil Nadu,Jio,42,2499,30,14.75,486,21,Postpaid,0,9,5,0,4,No,Yes
CUST00058,43,Male,West Bengal,Jio,103,399,21,51.16,600,121,Prepaid,0,3,3,0,5,No,No
CUST00059,27,Male,Tamil Nadu,BSNL,100,239,21,18.35,577,62,Prepaid,1,6,6,2,4,No,No
CUST00060,18,Male,Karnataka,Airtel,12,799,30,5.56,1246,48,Postpaid,2,20,0,2,3,No,Yes
CUST00061,42,Male,Karnataka,Airtel,56,799,28,15.65,463,17,Prepaid,1,0,7,3,4,No,No
CUST00062,48,Male,Maharashtra,Airtel,32,299,28,12.55,534,49,Prepaid,1,13,2,2,4,No,No
CUST00063,32,Female,Rajasthan,Vi,10,239,90,12.62,1615,131,Prepaid,4,12,2,2,3,No,No
CUST00064,46,Male,Gujarat,Vi,82,799,28,32.98,1177,63,Prepaid,2,5,3,1,5,No,No
CUST00065,31,Male,Gujarat,BSNL,36,699,28,23.93,779,51,Postpaid,0,4,11,2,5,No,No
CUST00066,34,Male,Uttar Pradesh,Airtel,10,199,28,12.92,1867,36,Prepaid,9,30,0,7,1,No,Yes
CUST00067,56,Male,Uttar Pradesh,Jio,119,799,35,20.19,100,33,Prepaid,0,4,0,0,5,No,No
CUST00068,32,Female,West Bengal,Airtel,31,299,90,16.0,388,118,Prepaid,2,7,0,1,4,No,No
CUST00069,31,Male,Tamil Nadu,Airtel,83,299,28,5.82,1066,41,Prepaid,4,25,0,3,3,No,No
CUST00070,18,Other,Telangana,Airtel,9,799,30,11.16,196,39,Postpaid,0,0,8,1,5,No,No
CUST00071,43,Female,Kerala,Airtel,55,239,21,48.4,439,59,Prepaid,2,6,10,1,4,Yes,No
CUST00072,26,Male,Madhya Pradesh,Jio,44,239,35,5.95,1200,37,Prepaid,4,12,21,2,3,Yes,Yes
CUST00073,37,Male,Uttar Pradesh,Airtel,23,299,21,15.42,393,105,Prepaid,6,23,11,3,2,No,Yes
CUST00074,31,Female,Karnataka,Vi,42,399,30,25.38,209,86,Postpaid,1,5,0,1,4,No,No
CUST00075,30,Female,Punjab,Vi,66,239,35,31.7,599,73,Prepaid,1,5,17,1,4,No,No
CUST00076,34,Female,Karnataka,Airtel,20,799,28,14.75,475,63,Prepaid,4,15,6,2,4,No,No
CUST00077,35,Female,Gujarat,Jio,47,799,28,12.92,99,26,Prepaid,1,1,1,1,5,No,No
CUST00078,49,Male,Tamil Nadu,Airtel,87,149,28,23.78,403,85,Prepaid,2,11,10,2,4,No,No
CUST00079,53,Male,Maharashtra,Vi,107,199,28,4.68,1071,36,Prepaid,3,12,3,2,3,No,No
CUST00080,43,Male,Punjab,Airtel,83,599,45,20.3,449,46,Prepaid,4,8,2,3,1,No,Yes
CUST00081,50,Female,Rajasthan,Vi,23,2499,60,55.26,861,39,Postpaid,0,1,25,0,5,No,No
CUST00082,45,Female,Rajasthan,Airtel,48,499,30,24.5,562,133,Postpaid,5,20,17,3,2,No,No
CUST00083,41,Male,Uttar Pradesh,Jio,32,699,28,5.18,631,65,Postpaid,1,4,1,1,4,No,No
CUST00084,52,Male,Tamil Nadu,Vi,5,239,90,15.52,269,84,Prepaid,0,0,21,0,5,No,Yes
CUST00085,19,Male,Maharashtra,Jio,54,99,45,17.84,525,29,Prepaid,7,30,13,4,2,No,Yes
CUST00086,27,Male,Uttar Pradesh,Airtel,41,499,35,17.28,1564,55,Prepaid,0,0,9,1,5,No,No
CUST00087,25,Female,Uttar Pradesh,Jio,40,399,35,3.78,616,41,Prepaid,2,4,4,1,5,No,No
CUST00088,31,Female,Delhi,Jio,36,99,21,15.09,437,70,Prepaid,3,19,10,3,4,No,No
CUST00089,43,Female,West Bengal,Airtel,66,699,30,23.15,641,30,Postpaid,0,0,1,1,3,No,No
CUST00090,22,Male,Gujarat,Airtel,29,499,28,63.61,147,4,Prepaid,1,6,3,1,5,No,No
CUST00091,41,Male,Gujarat,Vi,43,699,35,46.36,603,191,Postpaid,1,5,11,3,4,No,No
CUST00092,28,Female,Gujarat,Vi,40,149,21,33.54,605,104,Prepaid,4,17,4,2,2,No,No
CUST00093,31,Female,Delhi,Vi,17,239,28,6.88,370,99,Prepaid,1,0,0,1,4,No,Yes
CUST00094,37,Male,Madhya Pradesh,Airtel,33,499,21,14.82,1943,96,Prepaid,7,30,4,5,1,No,Yes
CUST00095,55,Female,Madhya Pradesh,Airtel,39,799,45,32.2,658,50,Postpaid,0,9,14,0,4,No,Yes
CUST00096,26,Male,Delhi,Airtel,64,499,28,10.97,396,110,Postpaid,4,21,12,2,2,No,Yes
CUST00097,34,Male,Rajasthan,Airtel,1,199,21,28.61,431,63,Prepaid,0,7,5,0,4,No,No
CUST00098,22,Male,Uttar Pradesh,Airtel,98,239,28,18.28,1104,5,Prepaid,1,13,2,2,5,No,No
CUST00099,26,Male,Gujarat,BSNL,21,1199,30,23.59,697,60,Postpaid,1,3,6,2,5,Yes,Yes
CUST00100,22,Male,Gujarat,Jio,69,499,21,60.93,267,51,Prepaid,7,33,16,4,1,Yes,Yes
CUST00101,38,Male,Punjab,BSNL,95,299,28,18.21,1194,8,Prepaid,0,9,10,0,5,No,Yes
CUST00102,40,Female,Uttar Pradesh,Jio,11,399,28,4.77,1141,20,Prepaid,3,9,15,5,2,No,Yes
CUST00103,43,Male,Punjab,Jio,113,239,35,33.69,475,28,Prepaid,0,0,2,0,5,No,No
CUST00104,26,Male,Karnataka,Jio,84,299,21,16.38,896,13,Prepaid,3,17,0,3,3,No,No
CUST00105,41,Female,Uttar Pradesh,Airtel,103,1999,28,13.98,911,13,Postpaid,1,3,4,1,4,No,No
CUST00106,36,Male,Gujarat,Jio,21,239,35,57.79,1239,4,Prepaid,2,0,4,1,5,No,No
CUST00107,34,Male,Karnataka,BSNL,2,399,21,24.87,306,24,Prepaid,2,9,15,1,4,No,No
CUST00108,20,Female,Tamil Nadu,Vi,90,299,28,30.67,601,98,Prepaid,8,29,3,4,1,Yes,Yes
CUST00109,37,Male,Karnataka,Airtel,20,299,28,29.33,221,36,Prepaid,0,12,0,0,4,No,No
CUST00110,37,Male,Gujarat,Airtel,12,99,28,35.43,184,67,Prepaid,1,9,5,1,5,No,No
CUST00111,36,Male,Karnataka,BSNL,18,499,60,21.24,1236,54,Prepaid,0,3,0,1,5,No,No
CUST00112,40,Male,Maharashtra,Vi,42,399,28,26.9,489,36,Prepaid,2,11,3,1,4,No,No
CUST00113,43,Female,Uttar Pradesh,Airtel,35,99,28,8.61,1232,30,Prepaid,2,12,0,2,2,No,No
CUST00114,22,Female,Tamil Nadu,Vi,68,299,21,10.51,197,11,Prepaid,3,21,2,3,2,No,Yes
CUST00115,32,Female,Maharashtra,Airtel,4,399,28,9.61,869,32,Prepaid,4,17,0,3,1,No,No
CUST00116,41,Female,Gujarat,Airtel,21,399,28,5.62,264,73,Prepaid,3,26,4,2,4,No,No
CUST00117,32,Female,Maharashtra,Jio,67,149,14,27.98,704,31,Prepaid,1,15,9,1,5,No,No
CUST00118,47,Male,Uttar Pradesh,Airtel,47,299,14,11.06,979,94,Prepaid,3,1,0,2,3,No,No
CUST00119,36,Female,Maharashtra,Jio,48,199,28,53.77,678,12,Prepaid,0,6,6,0,4,No,No
CUST00120,18,Male,West Bengal,Jio,35,239,35,17.48,408,18,Prepaid,0,1,5,3,4,No,No
CUST00121,45,Female,Maharashtra,Vi,8,299,35,15.64,484,100,Prepaid,2,10,2,1,4,No,No
CUST00122,34,Female,Gujarat,BSNL,33,99,35,8.44,1136,21,Prepaid,0,0,4,0,5,No,No
CUST00123,18,Male,Telangana,Others,39,199,28,30.12,539,20,Prepaid,0,0,16,0,5,No,No
CUST00124,32,Male,Uttar Pradesh,Airtel,13,399,45,30.69,336,31,Prepaid,2,12,3,2,3,No,No
CUST00125,20,Male,Maharashtra,Airtel,25,399,35,50.24,865,3,Postpaid,0,3,1,0,5,No,No
CUST00126,44,Male,Madhya Pradesh,Jio,118,499,45,34.7,925,26,Postpaid,1,13,3,2,4,No,No
CUST00127,35,Female,Tamil Nadu,Vi,59,499,28,28.09,516,38,Postpaid,0,0,1,0,5,No,No
CUST00128,24,Female,Madhya Pradesh,Jio,48,499,28,13.14,40,14,Prepaid,0,2,14,0,4,No,No
CUST00129,45,Male,Rajasthan,Jio,119,799,28,46.56,1038,83,Postpaid,6,21,6,4,2,Yes,Yes
CUST00130,41,Male,Uttar Pradesh,Airtel,39,399,21,23.59,1465,92,Prepaid,6,26,1,3,3,No,No
CUST00131,32,Male,Punjab,Jio,30,239,35,7.7,530,96,Prepaid,0,0,6,0,5,No,No
CUST00132,20,Male,Gujarat,Jio,47,799,28,8.89,473,10,Prepaid,1,11,1,1,5,No,No
CUST00133,25,Male,Uttar Pradesh,Vi,71,2999,30,27.7,450,42,Postpaid,5,17,0,4,2,No,Yes
CUST00134,25,Male,Tamil Nadu,Jio,104,199,28,21.56,922,27,Prepaid,0,2,13,0,5,No,No
CUST00135,44,Female,Maharashtra,Jio,12,699,28,14.4,703,24,Postpaid,1,6,0,1,4,No,No
CUST00136,18,Male,Maharashtra,Jio,78,99,28,9.46,491,47,Prepaid,2,13,3,2,4,No,No
CUST00137,34,Male,Maharashtra,Jio,36,799,30,32.13,1586,25,Postpaid,2,10,0,3,4,No,Yes
CUST00138,32,Female,Uttar Pradesh,Jio,89,999,35,31.71,1548,30,Postpaid,0,8,2,1,4,No,No
CUST00139,47,Male,Rajasthan,Vi,37,699,30,22.36,1561,30,Postpaid,1,0,11,1,4,No,No
CUST00140,38,Other,Rajasthan,Jio,10,149,45,21.55,216,7,Prepaid,2,5,0,2,3,No,No
CUST00141,41,Female,Maharashtra,Vi,4,699,28,19.06,728,43,Postpaid,1,1,21,1,5,No,No
CUST00142,29,Male,Tamil Nadu,Jio,4,999,30,34.39,165,37,Postpaid,4,13,0,3,2,No,No
CUST00143,20,Male,Kerala,Airtel,8,599,28,33.08,199,54,Prepaid,5,28,17,4,1,No,Yes
CUST00144,31,Male,Delhi,Vi,51,299,45,20.03,1081,20,Prepaid,2,3,9,1,4,No,No
CUST00145,44,Male,Uttar Pradesh,Airtel,93,499,28,30.3,397,7,Prepaid,3,10,1,3,2,No,No
CUST00146,44,Male,West Bengal,Airtel,33,199,21,16.4,66,256,Prepaid,3,12,0,2,4,No,No
CUST00147,30,Female,West Bengal,BSNL,21,2999,35,13.26,253,41,Postpaid,1,0,2,4,3,No,No
CUST00148,25,Male,Tamil Nadu,Jio,2,499,28,53.54,440,90,Prepaid,5,8,1,3,2,No,No
CUST00149,22,Male,Madhya Pradesh,Airtel,105,299,28,35.92,288,91,Prepaid,5,20,2,4,2,No,No
CUST00150,33,Male,Delhi,BSNL,33,299,35,28.5,608,13,Prepaid,3,17,8,3,3,No,No
CUST00151,37,Female,Telangana,Jio,48,299,35,11.16,640,49,Prepaid,0,14,0,2,4,No,No
CUST00152,53,Male,Gujarat,Jio,8,299,28,19.26,561,223,Prepaid,1,14,5,1,4,No,No
CUST00153,36,Male,Karnataka,Jio,88,2499,35,48.61,661,4,Postpaid,1,8,0,2,4,No,No
CUST00154,42,Male,Maharashtra,Airtel,107,399,21,10.12,567,45,Prepaid,1,10,3,3,4,No,No
CUST00155,26,Other,West Bengal,Jio,18,499,35,18.39,509,3,Postpaid,1,6,6,2,4,No,No
CUST00156,36,Male,Delhi,Jio,29,799,35,42.61,138,68,Postpaid,6,27,4,3,1,No,Yes
CUST00157,37,Female,Gujarat,Airtel,90,199,14,4.53,336,3,Prepaid,2,7,0,2,4,No,No
CUST00158,33,Female,Gujarat,Airtel,22,239,45,34.05,730,152,Prepaid,7,35,7,4,1,Yes,Yes
CUST00159,35,Male,Telangana,Jio,90,499,21,27.23,1209,48,Prepaid,7,25,22,4,1,Yes,Yes
CUST00160,37,Female,Madhya Pradesh,Jio,41,299,90,20.88,1145,26,Prepaid,1,10,3,2,3,No,Yes
CUST00161,41,Male,Rajasthan,Airtel,92,599,21,20.93,372,48,Prepaid,1,20,10,1,5,No,Yes
CUST00162,49,Female,Uttar Pradesh,BSNL,32,199,45,18.97,545,65,Prepaid,4,17,1,3,4,No,Yes
CUST00163,18,Female,Tamil Nadu,Airtel,48,1999,30,31.26,1796,50,Postpaid,5,23,0,3,2,No,Yes
CUST00164,48,Male,Delhi,Vi,17,299,28,27.87,129,16,Prepaid,5,13,0,5,3,No,No
CUST00165,18,Male,Telangana,Jio,24,239,21,17.06,237,58,Prepaid,0,11,2,0,5,No,No
CUST00166,39,Female,Maharashtra,Jio,43,999,30,29.34,489,0,Postpaid,0,6,1,0,4,No,No
CUST00167,63,Male,Delhi,Airtel,18,799,28,11.24,579,95,Postpaid,6,20,20,4,2,No,Yes
CUST00168,34,Male,Karnataka,Vi,88,699,30,21.34,415,17,Postpaid,4,11,1,2,3,No,No
CUST00169,37,Male,Tamil Nadu,Airtel,47,699,28,23.1,398,28,Postpaid,0,5,5,0,3,No,No
CUST00170,31,Female,Tamil Nadu,Vi,55,99,28,44.66,2415,50,Prepaid,0,0,6,1,5,No,No
CUST00171,43,Female,Tamil Nadu,Others,114,999,30,3.43,197,38,Postpaid,1,2,4,2,3,No,No
CUST00172,39,Male,Maharashtra,Jio,50,1199,30,19.77,330,13,Postpaid,6,35,0,3,1,Yes,Yes
CUST00173,27,Male,Tamil Nadu,Jio,67,399,28,29.57,806,17,Prepaid,1,14,17,1,4,No,Yes
CUST00174,34,Male,Gujarat,Jio,41,299,45,10.91,133,119,Prepaid,0,12,2,1,5,No,No
CUST00175,22,Female,Gujarat,Airtel,31,399,90,28.32,290,35,Prepaid,7,28,26,4,1,Yes,Yes
CUST00176,34,Male,Maharashtra,Jio,72,299,35,12.09,409,267,Prepaid,7,32,24,6,1,No,Yes
CUST00177,30,Female,West Bengal,Vi,16,239,35,31.78,698,76,Prepaid,0,0,0,0,4,No,No
CUST00178,37,Male,Delhi,Jio,5,399,45,20.75,472,17,Prepaid,2,12,15,1,3,No,Yes
CUST00179,26,Female,Uttar Pradesh,Jio,101,599,14,41.41,480,36,Prepaid,1,5,2,1,4,No,No
CUST00180,32,Male,Uttar Pradesh,Jio,8,399,45,29.62,390,46,Prepaid,0,2,2,1,4,No,No
CUST00181,35,Male,Uttar Pradesh,BSNL,6,499,28,47.2,570,41,Prepaid,1,7,17,1,4,Yes,No
CUST00182,36,Male,Tamil Nadu,Airtel,47,399,35,29.51,88,42,Postpaid,0,2,1,0,5,No,No
CUST00183,38,Female,Delhi,BSNL,57,239,28,29.02,1809,25,Prepaid,0,10,3,0,4,No,No
CUST00184,33,Female,Delhi,Others,5,299,28,22.27,334,49,Prepaid,7,15,0,4,1,No,Yes
CUST00185,26,Male,Uttar Pradesh,Airtel,13,239,28,41.6,626,61,Prepaid,4,19,5,3,4,Yes,Yes
CUST00186,36,Female,Tamil Nadu,Jio,34,239,35,19.23,301,112,Prepaid,2,12,5,1,4,No,No
CUST00187,33,Female,Madhya Pradesh,Jio,120,299,35,28.95,818,9,Prepaid,1,0,1,1,5,No,No
CUST00188,47,Male,Telangana,Jio,65,499,28,11.89,582,72,Prepaid,0,11,5,1,4,No,Yes
CUST00189,49,Male,Gujarat,Vi,56,699,30,20.76,791,43,Postpaid,1,10,17,1,4,No,No
CUST00190,19,Male,Maharashtra,Jio,62,199,60,48.8,1954,6,Prepaid,2,9,6,1,3,No,No
CUST00191,42,Male,Uttar Pradesh,Jio,19,149,21,29.64,742,65,Prepaid,1,6,7,1,5,No,No
CUST00192,45,Female,Karnataka,Airtel,22,239,35,15.1,512,40,Prepaid,0,5,0,1,4,No,No
CUST00193,19,Female,Maharashtra,Airtel,17,399,28,26.92,1041,174,Prepaid,2,10,4,1,5,No,No
CUST00194,42,Female,Telangana,Airtel,2,1199,28,18.3,1430,33,Postpaid,3,17,7,2,2,No,Yes
CUST00195,46,Male,Gujarat,Jio,36,239,35,6.83,1053,45,Prepaid,0,9,0,0,5,No,No
CUST00196,24,Male,Kerala,Vi,27,699,30,27.64,836,11,Postpaid,0,1,4,1,5,No,No
CUST00197,32,Female,Uttar Pradesh,Airtel,38,149,35,49.36,500,28,Prepaid,2,11,17,2,3,No,No
CUST00198,37,Female,West Bengal,Jio,3,199,35,19.21,640,87,Prepaid,2,4,3,1,3,No,Yes
CUST00199,42,Female,Gujarat,Vi,7,1499,60,28.03,643,27,Postpaid,3,18,3,2,4,No,No
CUST00200,23,Female,Gujarat,BSNL,41,1499,30,72.17,386,34,Postpaid,1,8,1,1,4,No,Yes
CUST00201,49,Female,Tamil Nadu,Jio,116,699,30,64.8,366,13,Postpaid,3,13,4,3,3,No,No
CUST00202,18,Male,Gujarat,Airtel,12,149,35,8.01,269,35,Prepaid,3,15,0,2,3,No,No
CUST00203,51,Male,Karnataka,Airtel,8,1199,28,8.59,733,26,Postpaid,0,12,0,0,4,No,No
CUST00204,42,Female,Karnataka,Jio,59,299,28,37.59,236,120,Prepaid,5,20,1,3,2,Yes,No
CUST00205,28,Female,Gujarat,Vi,30,999,35,42.55,209,7,Postpaid,3,4,10,2,4,No,Yes
CUST00206,45,Male,Gujarat,Jio,18,239,28,35.09,480,53,Prepaid,0,17,3,1,4,No,No
CUST00207,22,Male,West Bengal,Vi,33,299,60,31.48,960,56,Prepaid,2,12,0,1,3,No,Yes
CUST00208,36,Female,Gujarat,Airtel,104,1999,30,43.68,84,9,Postpaid,9,40,16,5,1,No,Yes
CUST00209,38,Male,Maharashtra,Airtel,71,499,14,22.16,400,61,Prepaid,5,21,6,4,1,Yes,Yes
CUST00210,38,Male,Uttar Pradesh,Jio,39,199,28,37.18,719,14,Prepaid,1,13,0,3,5,No,No
CUST00211,25,Male,Punjab,Jio,34,1199,35,29.08,532,102,Postpaid,1,12,0,1,3,No,No
CUST00212,29,Female,Karnataka,Jio,111,299,28,31.58,496,23,Prepaid,1,1,17,1,4,No,No
CUST00213,37,Female,Maharashtra,Jio,22,299,28,37.55,599,67,Prepaid,0,0,0,0,5,No,No
CUST00214,26,Male,Rajasthan,Jio,39,149,35,63.27,487,35,Prepaid,2,3,0,2,4,No,No
CUST00215,38,Female,Telangana,Vi,32,239,14,30.85,1364,77,Prepaid,4,17,2,2,2,No,Yes
CUST00216,28,Male,West Bengal,Jio,16,199,28,17.76,838,128,Prepaid,0,9,3,1,4,No,No
CUST00217,47,Male,Uttar Pradesh,Vi,104,239,21,42.06,221,150,Prepaid,0,5,6,0,5,No,No
CUST00218,54,Female,Karnataka,Airtel,22,239,28,28.29,208,16,Prepaid,0,7,0,0,5,No,No
CUST00219,31,Female,Rajasthan,Vi,76,399,28,16.58,553,89,Prepaid,4,14,2,3,2,No,No
CUST00220,46,Female,Maharashtra,Others,17,239,28,19.92,283,22,Prepaid,0,11,1,1,5,No,No
CUST00221,32,Female,Uttar Pradesh,Jio,8,199,28,8.93,1723,129,Prepaid,2,10,1,2,3,No,Yes
CUST00222,24,Male,Uttar Pradesh,Vi,96,299,28,15.02,828,16,Prepaid,0,14,11,0,5,No,No
CUST00223,30,Male,Punjab,Airtel,5,499,28,9.84,155,31,Postpaid,0,3,2,0,5,No,No
CUST00224,36,Male,Karnataka,Vi,118,149,35,19.6,614,19,Prepaid,4,12,21,3,2,No,No
CUST00225,18,Male,Maharashtra,Airtel,39,199,35,9.08,525,89,Prepaid,2,0,4,1,3,Yes,Yes
CUST00226,43,Male,Rajasthan,Airtel,36,199,90,30.71,467,92,Prepaid,0,3,5,2,5,No,No
CUST00227,36,Other,Uttar Pradesh,Jio,69,399,60,28.18,181,91,Postpaid,0,3,4,1,4,No,No
CUST00228,47,Male,West Bengal,Jio,83,499,28,21.14,452,77,Prepaid,1,1,0,1,5,No,No
CUST00229,42,Female,Gujarat,Airtel,61,799,35,41.94,186,40,Postpaid,0,6,0,1,5,No,No
CUST00230,36,Female,Karnataka,Others,45,499,35,20.31,210,38,Prepaid,0,5,15,2,3,No,No
CUST00231,31,Female,Tamil Nadu,Vi,44,239,28,51.77,621,93,Prepaid,0,2,2,0,4,No,No
CUST00232,53,Male,Karnataka,Jio,102,299,21,25.41,1708,125,Prepaid,0,4,2,0,5,No,No
CUST00233,61,Male,Telangana,Vi,34,999,30,5.07,169,57,Postpaid,4,14,13,2,3,No,Yes
CUST00234,31,Male,Tamil Nadu,Vi,6,299,28,18.88,293,109,Prepaid,4,14,14,2,2,No,Yes
CUST00235,48,Male,West Bengal,Jio,16,299,28,69.23,1212,28,Prepaid,2,2,0,3,4,No,No
CUST00236,27,Female,Rajasthan,Jio,35,239,28,38.2,170,8,Prepaid,1,7,0,1,4,Yes,Yes
CUST00237,28,Male,West Bengal,Jio,18,199,28,8.02,473,72,Prepaid,1,1,6,1,5,No,No
CUST00238,30,Male,Karnataka,Vi,48,599,28,47.15,107,18,Prepaid,0,9,0,0,5,No,No
CUST00239,43,Female,Madhya Pradesh,Vi,16,499,60,19.75,465,7,Prepaid,1,14,15,2,4,No,Yes
